"transaction_id","sample_id","transaction_type","transaction_amount"
52346326,11,"REBILL",24.95
52346327,11,"REBILL",24.95
52346328,32,"REBILL",29.95
52346329,32,"REBILL",29.95
52346330,32,"REBILL",29.95
52346331,32,"REBILL",29.95
52346332,103,"REBILL",19.95
52346333,103,"REBILL",19.95
52346334,103,"REBILL",19.95
52346335,103,"REBILL",19.95
52346336,103,"REBILL",19.95
52346337,103,"REBILL",19.95
52346338,103,"REBILL",19.95
52346339,103,"REBILL",19.95
52346340,103,"REBILL",19.95
52346341,103,"REBILL",19.95
52346342,103,"REBILL",19.95
52346343,109,"REBILL",19.95
52346344,127,"REBILL",32.95
52346345,127,"REBILL",32.95
52346346,135,"REBILL",32.95
52346347,135,"REBILL",32.95
52346348,135,"REBILL",32.95
52346349,137,"REBILL",29.95
52346350,137,"REBILL",29.95
52346351,138,"REBILL",24.95
52346352,249,"REBILL",39.95
52346353,260,"REBILL",29.95
52346354,261,"REBILL",29.95
52346355,261,"REBILL",29.95
52346356,295,"REBILL",39.95
52346357,295,"REBILL",39.95
52346358,296,"CHARGEBACK",-29.95
52346359,364,"REBILL",32.95
52346360,364,"REBILL",32.95
52346361,378,"REBILL",19.95
52346362,403,"REBILL",39.95
52346363,403,"REBILL",39.95
52346364,417,"REBILL",39.95
52346365,417,"REBILL",39.95
52346366,426,"REBILL",19.95
52346367,426,"REBILL",19.95
52346368,426,"REBILL",19.95
52346369,426,"REBILL",19.95
52346370,494,"REBILL",24.95
52346371,494,"REBILL",24.95
52346372,494,"REBILL",24.95
52346373,570,"REBILL",39.95
52346374,570,"REBILL",39.95
52346375,570,"REBILL",39.95
52346376,570,"REBILL",39.95
52346377,570,"REBILL",39.95
52346378,593,"REBILL",24.95
52346379,593,"REBILL",24.95
52346380,611,"REBILL",19.95
52346381,623,"REBILL",39.95
52346382,623,"REBILL",39.95
52346383,623,"REBILL",39.95
52346384,631,"REBILL",24.95
52346385,638,"REBILL",24.95
52346386,651,"REBILL",39.95
52346387,651,"REBILL",39.95
52346388,651,"REBILL",39.95
52346389,653,"REBILL",19.95
52346390,653,"REBILL",19.95
52346391,653,"REBILL",19.95
52346392,734,"REBILL",29.95
52346393,734,"REBILL",29.95
52346394,734,"REBILL",29.95
52346395,747,"REBILL",39.95
52346396,747,"REBILL",39.95
52346397,747,"REBILL",39.95
52346398,747,"REBILL",39.95
52346399,772,"REBILL",29.95
52346400,772,"REBILL",29.95
52346401,815,"REBILL",24.95
52346402,815,"REBILL",24.95
52346403,815,"REBILL",24.95
52346404,894,"REBILL",32.95
52346405,894,"REBILL",32.95
52346406,901,"REBILL",24.95
52346407,902,"REBILL",32.95
52346408,902,"REBILL",32.95
52346409,908,"REBILL",39.95
52346410,935,"REBILL",39.95
52346411,957,"REFUND",-24.95
52346412,957,"REFUND",-24.95
52346413,1010,"REBILL",32.95
52346414,1010,"REBILL",32.95
52346415,1016,"REBILL",24.95
52346416,1044,"REBILL",19.95
52346417,1044,"REBILL",19.95
52346418,1044,"REBILL",19.95
52346419,1044,"REBILL",19.95
52346420,1044,"REBILL",19.95
52346421,1044,"REBILL",19.95
52346422,1044,"REBILL",19.95
52346423,1044,"REBILL",19.95
52346424,1044,"REBILL",19.95
52346425,1044,"REBILL",19.95
52346426,1044,"REBILL",19.95
52346427,1044,"REBILL",19.95
52346428,1044,"REBILL",19.95
52346429,1108,"REBILL",24.95
